 2021-05-31 22:19:05,344 - Key.f8
 2021-05-31 22:19:05,716 - Key.f8
 2021-05-31 22:19:06,142 - Key.f8
 2021-05-31 22:19:13,171 - Key.f8
 2021-05-31 22:19:13,674 - Key.f8
 2021-05-31 22:19:13,954 - Key.f8
 2021-05-31 22:19:15,132 - Key.f8
 2021-05-31 22:19:15,354 - Key.f8
 2021-05-31 22:19:15,547 - Key.f8
 2021-05-31 22:19:18,036 - 'q'
 2021-05-31 22:19:21,930 - Key.f8
 2021-05-31 22:19:22,418 - Key.f7
 2021-05-31 22:19:22,704 - Key.f7
 2021-05-31 22:19:22,919 - Key.f7
 2021-05-31 22:19:23,136 - Key.f7
 2021-05-31 22:19:23,336 - Key.f7
 2021-05-31 22:19:23,572 - Key.f7
 2021-05-31 22:19:23,790 - Key.f7
 2021-05-31 22:19:24,047 - Key.f7
 2021-05-31 22:19:24,335 - Key.f7
 2021-05-31 22:20:51,333 - '0'
 2021-05-31 22:20:56,330 - Key.ctrl_l
 2021-05-31 22:20:56,588 - '\x13'
